State/UT,Decade,Year,Old districts,New District,
Uttar Pradesh,1981-1991,1989.0,Mirzapur,Sonbhadra,
Uttar Pradesh,1991-2001,1994.0,Deoria,Kushinagar,
Uttar Pradesh,1991-2001,1994.0,Varanasi,Sant Ravidas Nagar,
Uttar Pradesh,1991-2001,1995.0,Faizabad,Ambedkar Nagar,
Uttar Pradesh,1991-2001,1995.0,Lalitpur,Mahoba,
Uttar Pradesh,1991-2001,1997.0,Etawah,Auraiya,
Uttar Pradesh,1991-2001,1997.0,Meerut,Baghpat,
Uttar Pradesh,1991-2001,1997.0,Gonda,Balrampur,
Uttar Pradesh,1991-2001,1997.0,Varanasi,Chandauli,
Uttar Pradesh,1991-2001,1997.0,Bulandshahr and Ghaziabad,Gautam Buddha Nagar,
Uttar Pradesh,1991-2001,1997.0,Aligarh,Hathras,
Uttar Pradesh,1991-2001,1997.0,Moradabad,Jyotiba Phule Nagar,
Uttar Pradesh,1991-2001,1997.0,Farrukhabad,Kannauj,
Uttar Pradesh,1991-2001,1997.0,Allahabad,Kaushambi,
Uttar Pradesh,1991-2001,1997.0,Basti,Sant Kabir Nagar,
Uttar Pradesh,1991-2001,1997.0,Bahraich,Shrawasti,
Uttar Pradesh,1991-2001,1998.0,Banda,Chitrakoot,
Uttar Pradesh,2001-2011,2008.0,Etah,Kanshiram Nagar/Kasganj,
Uttar Pradesh,2011-2021,2010.0,Sultanpur and Raebareli,Amethi,
Uttar Pradesh,2011-2021,2011.0,Moradabad and Badaun,Bhimnagar/Sambhal,
Uttar Pradesh,2011-2021,2011.0,Ghaziabad,Panchsheel Nagar/Hapur,
Uttar Pradesh,2011-2021,2011.0,Muzaffarnagar,Prabuddhanagar/Shamli,
Uttarakhand,1951-1961,1960.0,Garhwal,Chamoli,
Uttarakhand,1951-1961,1960.0,Almora,Pithoragarh,
Uttarakhand,1951-1961,1960.0,Tehri Garhwal,Uttar Kashi,
Uttarakhand,1981-1991,1988.0,Saharanpur,Hardwar,
Uttarakhand,1991-2001,1995.0,Nainital,Udham Singh Nagar,
Uttarakhand,1991-2001,1997.0,Almora,Bageshwar,
Uttarakhand,1991-2001,1997.0,Pithoragarh,Champawat,
Uttarakhand,1991-2001,1997.0,Chamoli,Rudraprayag,
West Bengal,1981-1991,1981.0,Twenty Four Parganas,North Twenty Four Parganas,
West Bengal,1981-1991,1981.0,Twenty Four Parganas,South Twenty Four Parganas,
West Bengal,1991-2001,1992.0,West Dinajpur,Dakshin Dinajpur,
West Bengal,1991-2001,1992.0,West Dinajpur,Uttar Dinajpur,
West Bengal,2001-2011,2002.0,Medinipur,Paschim Medinipur,
West Bengal,2001-2011,2002.0,Medinipur,Purba Medinipur,
West Bengal,2011-2021,2014.0,Jalpaiguri,Alipurduar,
West Bengal,2011-2021,2017.0,Paschim Medinipur,Jhargram,
West Bengal,2011-2021,2017.0,Darjiling,Kalimpong,
West Bengal,2011-2021,2017.0,Barddhaman,Pashchim Barddhaman,
West Bengal,2011-2021,2017.0,Barddhaman,Purba Barddhaman,
































































































































































































































































































































































































































































































































