1951-State,1951-District ,1961-State,1961-District ,1971-State ,1971-District ,1981-State,1981-District,1991-State,1991-District,2001-State,2001-District,2011-State,2011-District,2024-State,2024-District
Madras,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore
Madras,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,Andhra Pradesh,Tirupati
Madras,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor
Madras,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Annamayya
Madras,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Chittoor,Andhra Pradesh,Tirupati
Madras,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Y.S.R.,Andhra Pradesh,Y.S.R.
Madras,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Cuddapah,Andhra Pradesh,Y.S.R.,Andhra Pradesh,Annamayya
Madras,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur
Madras,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Anantapur,Andhra Pradesh,Sri Sathya Sai
Madras,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool
Madras,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Kurnool,Andhra Pradesh,Nandyal
Assam,Balipara Frontier Tract,North-East Frontier Agency,Kameng Frontier,Arunachal Pradesh,Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang,Arunachal Pradesh,Tawang
Assam,Balipara Frontier Tract,North-East Frontier Agency,Kameng Frontier,Arunachal Pradesh,Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh,West Kameng,Arunachal Pradesh,West Kameng
Assam,Balipara Frontier Tract,North-East Frontier Agency,Kameng Frontier,Arunachal Pradesh,Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng
Assam,Balipara Frontier Tract,North-East Frontier Agency,Kameng Frontier,Arunachal Pradesh,Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,East Kameng,Arunachal Pradesh,Pakke-Kesang
Assam,Balipara Frontier Tract,North-East Frontier Agency,Subansiri Frontier,Arunachal Pradesh,Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare,Arunachal Pradesh,Papum Pare
Assam,Balipara Frontier Tract,North-East Frontier Agency,Subansiri Frontier,Arunachal Pradesh,Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri
Assam,Balipara Frontier Tract,North-East Frontier Agency,Subansiri Frontier,Arunachal Pradesh,Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Upper Subansiri,Arunachal Pradesh,Kamle
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,Siang
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,Lower Siang
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,Lepa - Rada
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,Shi-Yomi
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,West Siang,Arunachal Pradesh,Lower Siang
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,Siang
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,Lower Siang
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,Lepa - Rada
Assam,Abor Hills,North-East Frontier Agency,Siang Frontier Division,Arunachal Pradesh,Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,East Siang,Arunachal Pradesh,Upper Siang,Arunachal Pradesh,Upper Siang,Arunachal Pradesh,Upper Siang
Assam,Tirap Frontier Tract,North-East Frontier Agency,Tirap Frontier Division,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang,Arunachal Pradesh,Changlang
Assam,Tirap Frontier Tract,North-East Frontier Agency,Tirap Frontier Division,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap
Assam,Tirap Frontier Tract,North-East Frontier Agency,Tirap Frontier Division,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Tirap,Arunachal Pradesh,Longding
Assam,Balipara Frontier Tract,North-East Frontier Agency,Subansiri Frontier,Arunachal Pradesh,Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri
Assam,Balipara Frontier Tract,North-East Frontier Agency,Subansiri Frontier,Arunachal Pradesh,Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Kamle
Assam,Balipara Frontier Tract,North-East Frontier Agency,Subansiri Frontier,Arunachal Pradesh,Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Kurung Kumey,Arunachal Pradesh,Kurung Kumey
Assam,Balipara Frontier Tract,North-East Frontier Agency,Subansiri Frontier,Arunachal Pradesh,Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Lower Subansiri,Arunachal Pradesh,Kurung Kumey,Arunachal Pradesh,Kra Daadi
Assam,Tirap Frontier Tract,North-East Frontier Agency,Tirap Frontier Division,Arunachal Pradesh,Tirap,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Dibang Valley
Assam,Tirap Frontier Tract,North-East Frontier Agency,Tirap Frontier Division,Arunachal Pradesh,Tirap,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Dibang Valley,Arunachal Pradesh,Lower Dibang Valley,Arunachal Pradesh,Lower Dibang Valley
Assam,Mishmi Hills,North-East Frontier Agency,Lohit Frontier Division,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit
Assam,Mishmi Hills,North-East Frontier Agency,Lohit Frontier Division,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Namsai
Assam,Mishmi Hills,North-East Frontier Agency,Lohit Frontier Division,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Lohit,Arunachal Pradesh,Anjaw,Arunachal Pradesh,Anjaw
Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar
Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Karimganj,Assam,Karimganj,Assam,Karimganj,Assam,Karimganj
Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Cachar,Assam,Hailakandi,Assam,Hailakandi,Assam,Hailakandi,Assam,Hailakandi
Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Sonitpur,Assam,Sonitpur,Assam,Sonitpur,Assam,Sonitpur
Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Baksa,Assam,Baksa
Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang
Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Udalguri,Assam,Udalguri
Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Kokrajhar,Assam,Kokrajhar,Assam,Kokrajhar,Assam,Kokrajhar
Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Kokrajhar,Assam,Kokrajhar,Assam,Chirang,Assam,Chirang
Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Dhuburi,Assam,Dhuburi,Assam,Dhubri,Assam,Dhubri
Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara
Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Bongaigaon,Assam,Bongaigaon,Assam,Bongaigaon,Assam,Bongaigaon
Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Bongaigaon,Assam,Bongaigaon,Assam,Chirang,Assam,Chirang
Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Barpeta,Assam,Barpeta,Assam,Barpeta,Assam,Barpeta
Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup
Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup Metropolitan,Assam,Kamrup Metropolitan
Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Nalbari,Assam,Nalbari,Assam,Nalbari,Assam,Nalbari
Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Barpeta,Assam,Barpeta,Assam,Baksa,Assam,Baksa
Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Nalbari,Assam,Nalbari,Assam,Baksa,Assam,Baksa
Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Baksa,Assam,Baksa
Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur
Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Dhemaji,Assam,Dhemaji,Assam,Dhemaji,Assam,Dhemaji
Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Dibrugarh,Assam,Tinsukia,Assam,Tinsukia,Assam,Tinsukia,Assam,Tinsukia
Assam,Lakhimpur,Assam,Lakhimpur,Assam,Lakhimpur,Assam,Dibrugarh,Assam,Dibrugarh,Assam,Dibrugarh,Assam,Dibrugarh,Assam,Dibrugarh
Assam,United Mikir and North Cachar Hills,Assam,United Mikir and North Cachar Hills,Assam,Mikir Hills,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong
Assam,United Mikir and North Cachar Hills,Assam,United Mikir and North Cachar Hills,Assam,North Cachar Hills,Assam,North Cachar Hills,Assam,North Cachar Hills,Assam,North Cachar Hills,Assam,Dima Hasao,Assam,Dima Hasao
Assam,Nowgong,Assam,Nowgong,Assam,Nowgong,Assam,Nagaon,Assam,Marigaon,Assam,Marigaon,Assam,Morigaon,Assam,Morigaon
Assam,Nowgong,Assam,Nowgong,Assam,Nowgong,Assam,Nagaon,Assam,Nagaon,Assam,Nagaon,Assam,Nagaon,Assam,Nagaon
Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sivasagar,Assam,Sivasagar
Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Jorhat,Assam,Jorhat,Assam,Jorhat,Assam,Jorhat
Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Golaghat,Assam,Golaghat,Assam,Golaghat,Assam,Golaghat
Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Sonitpur,Assam,Sonitpur,Assam,Sonitpur,Assam,Biswanath
Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sivasagar,Assam,Charaideo
Assam,Nowgong,Assam,Nowgong,Assam,Nowgong,Assam,Nagaon,Assam,Nagaon,Assam,Nagaon,Assam,Nagaon,Assam,Hojai
Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Goalpara,Assam,Dhuburi,Assam,Dhuburi,Assam,Dhubri,Assam,South Salmara-Mankachar
Assam,United Mikir and North Cachar Hills,Assam,United Mikir and North Cachar Hills,Assam,Mikir Hills,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,Karbi Anglong,Assam,West Karbi Anglong
Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Sibsagar,Assam,Jorhat,Assam,Jorhat,Assam,Jorhat,Assam,Majuli
Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Kamrup,Assam,Barpeta,Assam,Barpeta,Assam,Barpeta,Assam,Bajali
Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Darrang,Assam,Baksa,Assam,Tamulpur
Bihar,Champaran,Bihar,Champaran,Bihar,Champaran,Bihar,Pashchim Champaran,Bihar,Pashchim Champaran,Bihar,Pashchim Champaran,Bihar,Pashchim Champaran,Bihar,Pashchim Champaran
Bihar,Champaran,Bihar,Champaran,Bihar,Champaran,Bihar,Purba Champaran,Bihar,Purba Champaran,Bihar,Purba Champaran,Bihar,Purba Champaran,Bihar,Purba Champaran
Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Sitamarhi,Bihar,Sitamarhi,Bihar,Sheohar,Bihar,Sheohar,Bihar,Sheohar
Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Sitamarhi,Bihar,Sitamarhi,Bihar,Sitamarhi,Bihar,Sitamarhi,Bihar,Sitamarhi
Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Madhubani,Bihar,Madhubani,Bihar,Madhubani,Bihar,Madhubani,Bihar,Madhubani
Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Supaul,Bihar,Supaul,Bihar,Supaul
Bihar,Purnea,Bihar,Purnea,Bihar,Purnea,Bihar,Purnia,Bihar,Araria,Bihar,Araria,Bihar,Araria,Bihar,Araria
Bihar,Purnea,Bihar,Purnea,Bihar,Purnea,Bihar,Purnia,Bihar,Kishanganj,Bihar,Kishanganj,Bihar,Kishanganj,Bihar,Kishanganj
Bihar,Purnea,Bihar,Purnea,Bihar,Purnea,Bihar,Purnia,Bihar,Purnia,Bihar,Purnia,Bihar,Purnia,Bihar,Purnia
Bihar,Purnea,Bihar,Purnea,Bihar,Purnea,Bihar,Katihar,Bihar,Katihar,Bihar,Katihar,Bihar,Katihar,Bihar,Katihar
Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Madhepura,Bihar,Madhepura,Bihar,Madhepura,Bihar,Madhepura
Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa,Bihar,Saharsa
Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga
Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur
Bihar,Saran,Bihar,Saran,Bihar,Saran,Bihar,Gopalganj,Bihar,Gopalganj,Bihar,Gopalganj,Bihar,Gopalganj,Bihar,Gopalganj
Bihar,Saran,Bihar,Saran,Bihar,Saran,Bihar,Siwan,Bihar,Siwan,Bihar,Siwan,Bihar,Siwan,Bihar,Siwan
Bihar,Saran,Bihar,Saran,Bihar,Saran,Bihar,Saran,Bihar,Saran,Bihar,Saran,Bihar,Saran,Bihar,Saran
Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Muzaffarpur,Bihar,Vaishali,Bihar,Vaishali,Bihar,Vaishali,Bihar,Vaishali,Bihar,Vaishali
Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Darbhanga,Bihar,Samastipur,Bihar,Samastipur,Bihar,Samastipur,Bihar,Samastipur,Bihar,Samastipur
Bihar,Monghyr,Bihar,Monghyr,Bihar,Monghyr,Bihar,Begusarai,Bihar,Begusarai,Bihar,Begusarai,Bihar,Begusarai,Bihar,Begusarai
Bihar,Monghyr,Bihar,Monghyr,Bihar,Monghyr,Bihar,Munger,Bihar,Khagaria,Bihar,Khagaria,Bihar,Khagaria,Bihar,Khagaria
